pwm,direction,v_left_mps,v_right_mps,v_left_std,v_right_std,n_samples,dt_elapsed_s
-25,rev,1.2608182932762544e-45,1.54177863537338e-45,0.0,0.0,13,0.6109094599960372
-30,rev,1.2608182932762542e-45,1.54177863537338e-45,0.0,0.0,14,0.6106036470009713
-35,rev,1.2608182932762544e-45,1.54177863537338e-45,0.0,0.0,13,0.6112723449987243
-40,rev,1.2608182932762544e-45,1.54177863537338e-45,0.0,0.0,13,0.6420222040032968
-45,rev,1.2608182932762544e-45,1.54177863537338e-45,0.0,0.0,13,0.6114171010049176
-50,rev,3.246522176179636e-14,-5.845788119810434e-07,6.99586452911302e-14,1.194022420825375e-06,13,0.6088239360033185
-55,rev,-3.7608914233883623e-25,-8.388908567643112e-18,6.558977234440372e-25,1.7134635880584288e-17,13,0.6105018290036242
-60,rev,1.5758929309650194e-37,-1.11785573532856e-28,7.377158710161274e-37,2.389629609463993e-28,14,0.6105701240012422
-65,rev,1.2476945943162165e-47,-7.629858990326545e-40,5.3894748035238406e-46,1.660698514455345e-39,13,0.6098274820033112
-70,rev,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,13,0.6113513929958572
-75,rev,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,13,0.610966414998984
-80,rev,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,13,0.6105919730034657
-85,rev,5.474972443129289e-16,-2.1106678293416364e-08,1.5706487933736013e-15,4.3111120375133065e-08,13,0.6106452679960057
-90,rev,2.9926461786400295e-26,-3.02888128628431e-19,6.535077237861239e-26,6.186594636723997e-19,13,0.6113308159983717
-95,rev,-1.0931637554819333e-37,-4.3465488972946455e-30,1.8580748275722162e-37,8.877976351218285e-30,13,0.6076609759984422
-100,rev,4.326509008635435e-46,-6.237395197303148e-41,5.571996272442971e-46,1.2740205672532867e-40,13,0.6098212899960345
-105,rev,-1.2608182932762542e-45,-1.54177863537338e-45,0.0,0.0,14,0.6103519699972821
-110,rev,-0.0023213159221362636,1.50487311533911e-11,0.004567483514736891,7.856895018837596e-11,13,0.6103948580057477
-115,rev,-2.0496367121079638e-11,-0.0002917002968204099,4.4904669913768013e-11,0.0006349085052973572,13,0.6106939660021453
-120,rev,-6.958047628372572e-23,-4.186000438119034e-15,1.5453950758880944e-22,9.111157363577508e-15,13,0.6103880230002687
-125,rev,4.8159659526170027e-33,-6.007056342191165e-26,1.0539864866614418e-32,1.3074827890703261e-25,13,0.6106344459985849
-130,rev,-2.1106678293416364e-08,5.474972443129289e-16,4.3111120375133065e-08,1.5706487933736013e-15,13,0.6098866360043758
-135,rev,-0.012543022113422361,-5.149117742564929e-08,0.006352746862989605,1.0506934060218284e-07,13,0.6116025289957179
-140,rev,-0.037521604721720975,-0.04557452380850625,0.006806275239942052,0.006978153641256168,13,0.6062097390022245
-145,rev,-0.0612836818405642,-0.07838130741079266,0.003885958442440967,0.004810009477497934,13,0.6109408109987271
-150,rev,-0.08054790475227804,-0.0842820252722096,0.009443621430361331,0.010179506288861459,14,0.6112043269968126
-155,rev,-0.1100461247454469,-0.1340710011233504,0.006666731127007301,0.004481485361333583,13,0.6105891080005676
-160,rev,-0.13318554485216738,-0.1593029384300686,0.006031292549791783,0.00603536911905285,13,0.6110072719966411
-165,rev,-0.15854622807926855,-0.17974282416873255,0.0069000189637744725,0.004814911523959704,13,0.6114873219994479
-170,rev,-0.18360846511611287,-0.19479608112638097,0.007996347977914512,0.008845002697492988,13,0.6109755099969334
-175,rev,-0.20379710776072282,-0.22340196250952207,0.012775594903557697,0.013612054734934176,13,0.6099535370012745
-180,rev,-0.22564709905377373,-0.24898060666698105,0.014196944955413668,0.010291880268298338,13,0.6111148039999534
-185,rev,-0.25783120894002226,-0.282317095118933,0.007023486200283375,0.005580671715546891,13,0.6065001560054952
-190,rev,-0.2890293736933515,-0.31487245730998425,0.0025576204680768616,0.001965007826407543,13,0.6101931429948309
-195,rev,-0.31462273421058695,-0.3391901595887861,0.00424890483458375,0.004986790226599634,14,0.6105044730065856
-200,rev,-0.33990132700350995,-0.3654767148140818,0.005163967584686416,0.0048106209927063145,13,0.6106628779962193
-205,rev,-0.3630581784377304,-0.39382076610596134,0.00763996978880863,0.00624309592033354,13,0.6088365409959806
-210,rev,-0.39100421534048824,-0.4173661135260302,0.008155270460524095,0.009337266675930031,13,0.6109961529946304
-215,rev,-0.41371630206962046,-0.4404834100234394,0.009925144461851283,0.009481783417618576,13,0.6113960739967297
-220,rev,-0.4351317131671195,-0.4688666113371459,0.014528233382759657,0.012833521488262632,13,0.6104583780033863
-225,rev,-0.4607671657892374,-0.49560645241003765,0.014066461667816504,0.014113947016525004,13,0.6113098889982211
-230,rev,-0.49722835032383983,-0.5325467098163297,0.007479551846312968,0.007732181290527391,13,0.6071278849994997
-235,rev,-0.5256922201726298,-0.5632476483142147,0.0038276749108965094,0.004134517564078707,13,0.6101829510007519
-240,rev,-0.5459229669371354,-0.580901820747714,0.004621246683155118,0.006417481788428342,14,0.6105748739937553
-245,rev,-0.5635749999344922,-0.593360435140534,0.005528023916918424,0.004697624674616499,13,0.6106240760054789
-250,rev,-0.5728108287041004,-0.5966409398775835,0.007642363105428397,0.006647036276607289,13,0.6106842049994157
-255,rev,-0.5789490594456975,-0.5995916380188786,0.006827314051218277,0.006299839474273755,13,0.6106073150003795
